,id_municipio,ano,pib,impostos_liquidos,va,va_agropecuaria,va_industria,va_servicos,va_adespss
190,3117405,2010,23510788,619647,22891142,4362658,937835,6132741,11457908
191,3117504,2010,155894568,9327105,146567463,1404191,48089099,45536379,38900074
192,3117603,2010,159511094,19437392,140073702,6998019,85433389,32609708,15032586
193,3117702,2010,111534358,5901276,105633082,25316849,1020845,42575515,27532269
194,3117801,2010,116202435,12645183,103557252,6216593,41302281,34506624,21531754
195,3117836,2010,29366925,815515,2855141,4321077,1192975,6371191,16666167
196,3117876,2010,581144846,52995361,528149485,161706,40640689,470446509,16900582
197,3117900,2010,107961914,10133274,9782864,5987441,36969654,32614408,22257137
198,3118007,2010,1922673681,118503483,1804170197,13671,11494248,481260738,172117559
199,3118106,2010,2102492,798414,20226506,2276018,798238,5650895,11501355
200,3118205,2010,117839318,6203238,11163608,46462866,15535316,31348357,18289541
201,3118304,2010,1129940656,11187501,1018065646,4775091,130984172,638387894,243918489
202,3118403,2010,159757496,8897918,150859578,26721657,132404,62485594,48411926
203,3118502,2010,12519574,349492,12170082,3485019,557448,2816767,5310849
204,3118601,2010,19142636355,3241690012,15900946343,1121452,5631434163,8886421724,1381969004
205,3118700,2010,80683637,3133274,77550363,27005445,3696207,25487685,21361026
206,3118809,2010,128518679,4220561,124298118,31551615,5584268,34908123,52254111
207,3118908,2010,53759244,2219315,51539929,12809252,3424518,16541507,18764652
208,3119005,2010,31907074,495571,31411503,12974584,1921612,7075018,9440289
209,3119104,2010,163944624,9321109,154623515,26230527,13794411,63719045,50879532
210,3119203,2010,54097099,1928503,52168596,10019109,4293101,13428781,24427606
211,3119302,2010,479056447,27356824,451699622,186056464,51349083,154146939,60147137
212,3119401,2010,920040106,85166608,834873498,2386263,121330539,508188019,202968677
213,3119500,2010,42341062,16644,40676662,2927689,5262281,11582058,20904634
214,3119609,2010,21770541,1122472,20648069,3313864,1501524,701616,881652
215,3119708,2010,28638246,1232504,27405741,7083435,3605093,7935471,8781742
216,3119807,2010,43984327,3382902,40601424,9449218,1959041,1908104,10112126
217,3119906,2010,18680435,501004,18179431,2453455,755169,5450044,9520763
218,3119955,2010,11135003,16830447,94519583,8092611,46512148,2472903,15185794
219,3120003,2010,21259912,644769,20615143,6363832,92584,437081,8954661
220,3120102,2010,26318033,1662388,24655645,94914,3167856,9860587,10678062
221,3120151,2010,29482886,779769,28703117,8014537,726593,5508611,14453376
222,3120201,2010,91474587,3208786,88265801,26575684,5897764,29800597,25991758
223,3120300,2010,28155005,575618,27579387,7731847,1128686,531872,13400134
224,3120409,2010,4138646,2784503,38601957,5349228,6001039,14312722,12938968
225,3120508,2010,92542004,473846,87803544,18346336,21558002,25574693,22324512
226,3120607,2010,31861767,1730502,30131264,5685862,313811,9546453,11760839
227,3120706,2010,41280669,132138,39959289,14250371,3017028,10588115,12103776
228,3120805,2010,105049161,6043228,99005933,12545853,1046145,43636745,32361885
229,3120839,2010,25568481,1130504,24437976,339339,175704,750194,11785607
230,3120870,2010,38169162,1181242,3698792,10952538,1991644,8637481,15406257
231,3120904,2010,800196772,66284346,733912427,116327643,112062675,351383453,154138656
232,3121001,2010,25427234,589771,24837463,3458793,1006962,702796,13343748
233,3121100,2010,5081742,369509,4712233,14088294,1860879,1386205,17311106
234,3121209,2010,87556369,3010864,84545506,33674952,5056403,24675251,211389
235,3121258,2010,235187147,31964515,203222632,8310756,107652316,64655702,22603859
236,3121308,2010,36998051,1888626,35109425,3675832,9467936,9834659,12130998
237,3121407,2010,38513181,1946863,36566319,5426118,4304646,12093074,14742481
238,3121506,2010,20585822,665279,19920543,4418344,1197827,535608,8948293
239,3121605,2010,38194843,27492653,354455777,712766,46966869,203267953,97093296
240,3121704,2010,2011927,619491,19499779,3241611,870752,5204493,10182923
241,3121803,2010,41651193,1502132,40149061,7290924,1781827,12932341,18143969
242,3121902,2010,23020856,851737,22169119,3409992,3992597,5884506,8882024
243,3122009,2010,113315898,6386996,106928902,17731715,6285566,43985536,38926085
244,3122108,2010,25699867,9054,24794467,3901692,1505618,7420752,11966404
245,3122207,2010,3020176,1255173,28946586,2441522,1046495,958762,15870948
246,3122306,2010,3417488595,424823729,2992664866,3600116,749955029,1702919711,503788966
247,3122355,2010,53488592,5628272,4786032,7838188,11660101,13080659,15281372
248,3122405,2010,47038923,1809867,45229056,15099366,2584606,14099248,13445836
249,3122454,2010,42083016,1203349,40879667,8875275,2484416,10545963,18974013
250,3122470,2010,28359197,2025021,26334176,8214847,100033,744261,9676389
251,3122504,2010,27701884,936161,26765723,1706805,2049012,10227762,12782144
252,3122603,2010,26465601,1182864,25282737,3228437,2741985,788897,11423344
